#,Sample_ID,Tissue,conc_DNA_ng/microliter,dest_Water,ILWE_conc_DNA_ng/microliter,ILWE_260/280,ILWE_260/230,ILWE_DNA_used_up,Date_Extraction,Machine
30,AA_0681,ILWE,6.76,43.24,369.7,2.00,1.82,FALSE,19.01.21,QuantStudio1
32,AA_0682,ILWE,14.85,35.15,168.3,2.04,1.03,FALSE,19.01.21,QuantStudio1
63,AA_0683,ILWE,19.58,30.42,127.7,2.05,0.36,FALSE,21.01.21,QuantStudio1
133,AA_0684,ILWE,5.86,44.14,426.6,1.92,1.61,FALSE,26.01.21,QuantStudio1
29,AA_0685,ILWE,6.19,43.81,403.9,2.00,0.67,FALSE,19.01.21,QuantStudio1
5,AA_0686,ILWE,20.39,29.61,122.6,2.00,1.68,FALSE,07.01.21,QuantStudio1
27,AA_0687,ILWE,2.28,47.72,1096.5,1.98,1.58,FALSE,19.01.21,QuantStudio1
134,AA_0688,ILWE,3.79,46.21,660.0,1.95,1.57,FALSE,26.01.21,QuantStudio1
3,AA_0689,ILWE,15.62,34.38,160.1,2.01,1.96,FALSE,06.01.21,QuantStudio1
11,AA_0690,ILWE,12.78,37.22,195.6,2.01,1.43,FALSE,11.01.21,QuantStudio1
130,AA_0691,ILWE,5.87,44.13,425.8,1.89,1.76,FALSE,26.01.21,QuantStudio1
132,AA_0692,ILWE,6.51,43.49,384.1,1.93,1.61,FALSE,26.01.21,QuantStudio1
43,AA_0693,ILWE,31.06,18.94,80.5,1.99,0.65,FALSE,20.01.21,QuantStudio1
10,AA_0694,ILWE,16.44,33.56,152.1,2.01,0.45,FALSE,11.01.21,QuantStudio1
1,AA_0695,ILWE,32.30,17.70,77.4,1.93,1.32,FALSE,06.01.21,QuantStudio1
60,AA_0696,ILWE,8.05,41.95,310.4,1.97,1.20,FALSE,21.01.21,QuantStudio1
9,AA_0697,ILWE,-,-,37.5,-,-,TRUE,11.01.21,QuantStudio1
138,AA_0697,ILWE,9.23,40.77,270.9,1.93,1.71,TRUE,27.01.21,QuantStudio1
19,AA_0699,ILWE,34.01,15.99,73.5,2.24,0.40,FALSE,12.01.21,QuantStudio1
31,AA_0700,ILWE,20.92,29.08,119.5,2.01,1.83,FALSE,19.01.21,QuantStudio1
45,AA_0701,ILWE,36.18,13.82,69.1,1.94,0.61,FALSE,20.01.21,QuantStudio1
13,AA_0702,ILWE,26.88,23.12,93.0,1.95,0.59,FALSE,11.01.21,QuantStudio1
75,AA_0703,ILWE,7.45,42.55,335.4,2.02,1.19,FALSE,21.01.21,QuantStudio1
78,AA_0704,ILWE,18.63,31.37,134.2,2.05,0.28,FALSE,21.01.21,QuantStudio1
17,AA_0705,ILWE,-,-,14.9,-,-,TRUE,12.01.21,QuantStudio1
139,AA_0705,ILWE,7.46,42.54,335.3,1.93,1.00,TRUE,27.01.21,QuantStudio1
131,AA_0706,ILWE,6.75,43.25,370.4,1.88,1.17,FALSE,26.01.21,QuantStudio1
59,AA_0707,ILWE,5.12,44.88,488.7,1.99,0.69,FALSE,21.01.21,QuantStudio1
62,AA_0708,ILWE,15.34,34.66,163.0,1.95,0.67,FALSE,21.01.21,QuantStudio1
83,AA_0709,ILWE,8.67,41.33,288.3,1.97,1.17,FALSE,24.01.21,QuantStudio1
126,AA_0710,ILWE,7.78,42.22,321.3,1.91,1.18,FALSE,26.01.21,QuantStudio1
112,AA_0711,ILWE,16.48,33.52,151.7,1.98,1.35,FALSE,25.01.21,QuantStudio1
